# 本 snapshot 產生於 commit 482bacf（161 tests）
# 此為修復後現況基準，非跨版本永恆正確性證明。
# 產生時 §11.1 待決項為 53 項。
#
# 產生時之已知問題狀態：
#   [已修] 1. 旬空、月破顯示佔位符（L2 未接通）
#   [已修] 2. 逐爻推導全部「未有對應模板」
#   [已修] 3. 多軌頁只顯示三本、標「三家共識」
#   [已修] 4. 原文摺疊區「未提供逐字原文」
#   [已修] 5. 卦名不完整（「水雷」缺「屯」）—— L1 運算層
#   [已修] 6. 伏神 dump JSON、內部 TODO 標記洩漏
#   [已修] 7. 用神選擇疑無實際作用（L3）
#
# K／Y 僅呈現多軌材料，未把空亡、沖散或四神判語應用為效果語義。
case_index,hexagram_id,hexagram_name,lines,moving_mask,moving_positions,moving_count_expected,moving_count_actual,changed_lines_complete,hidden_count,failed_checks,placeholder_checks,exception_type,exception_message,result_class
195,4,天地否,000111,2,2,1,1,true,1,,,,,normal
196,4,天地否,000111,3,1|2,2,2,true,1,,,,,normal
197,4,天地否,000111,4,3,1,1,true,1,,,,,normal
198,4,天地否,000111,5,1|3,2,2,true,1,,,,,normal
199,4,天地否,000111,6,2|3,2,2,true,1,,,,,normal
200,4,天地否,000111,7,1|2|3,3,3,true,1,,,,,normal
201,4,天地否,000111,8,4,1,1,true,1,,,,,normal
202,4,天地否,000111,9,1|4,2,2,true,1,,,,,normal
203,4,天地否,000111,10,2|4,2,2,true,1,,,,,normal
204,4,天地否,000111,11,1|2|4,3,3,true,1,,,,,normal
205,4,天地否,000111,12,3|4,2,2,true,1,,,,,normal
206,4,天地否,000111,13,1|3|4,3,3,true,1,,,,,normal
207,4,天地否,000111,14,2|3|4,3,3,true,1,,,,,normal
208,4,天地否,000111,15,1|2|3|4,4,4,true,1,,,,,normal
209,4,天地否,000111,16,5,1,1,true,1,,,,,normal
210,4,天地否,000111,17,1|5,2,2,true,1,,,,,normal
211,4,天地否,000111,18,2|5,2,2,true,1,,,,,normal
212,4,天地否,000111,19,1|2|5,3,3,true,1,,,,,normal
213,4,天地否,000111,20,3|5,2,2,true,1,,,,,normal
214,4,天地否,000111,21,1|3|5,3,3,true,1,,,,,normal
215,4,天地否,000111,22,2|3|5,3,3,true,1,,,,,normal
216,4,天地否,000111,23,1|2|3|5,4,4,true,1,,,,,normal
217,4,天地否,000111,24,4|5,2,2,true,1,,,,,normal
218,4,天地否,000111,25,1|4|5,3,3,true,1,,,,,normal
219,4,天地否,000111,26,2|4|5,3,3,true,1,,,,,normal
220,4,天地否,000111,27,1|2|4|5,4,4,true,1,,,,,normal
221,4,天地否,000111,28,3|4|5,3,3,true,1,,,,,normal
222,4,天地否,000111,29,1|3|4|5,4,4,true,1,,,,,normal
223,4,天地否,000111,30,2|3|4|5,4,4,true,1,,,,,normal
224,4,天地否,000111,31,1|2|3|4|5,5,5,true,1,,,,,normal
225,4,天地否,000111,32,6,1,1,true,1,,,,,normal
226,4,天地否,000111,33,1|6,2,2,true,1,,,,,normal
227,4,天地否,000111,34,2|6,2,2,true,1,,,,,normal
228,4,天地否,000111,35,1|2|6,3,3,true,1,,,,,normal
229,4,天地否,000111,36,3|6,2,2,true,1,,,,,normal
230,4,天地否,000111,37,1|3|6,3,3,true,1,,,,,normal
231,4,天地否,000111,38,2|3|6,3,3,true,1,,,,,normal
232,4,天地否,000111,39,1|2|3|6,4,4,true,1,,,,,normal
233,4,天地否,000111,40,4|6,2,2,true,1,,,,,normal
234,4,天地否,000111,41,1|4|6,3,3,true,1,,,,,normal
235,4,天地否,000111,42,2|4|6,3,3,true,1,,,,,normal
236,4,天地否,000111,43,1|2|4|6,4,4,true,1,,,,,normal
237,4,天地否,000111,44,3|4|6,3,3,true,1,,,,,normal
238,4,天地否,000111,45,1|3|4|6,4,4,true,1,,,,,normal
239,4,天地否,000111,46,2|3|4|6,4,4,true,1,,,,,normal
240,4,天地否,000111,47,1|2|3|4|6,5,5,true,1,,,,,normal
241,4,天地否,000111,48,5|6,2,2,true,1,,,,,normal
242,4,天地否,000111,49,1|5|6,3,3,true,1,,,,,normal
243,4,天地否,000111,50,2|5|6,3,3,true,1,,,,,normal
244,4,天地否,000111,51,1|2|5|6,4,4,true,1,,,,,normal
245,4,天地否,000111,52,3|5|6,3,3,true,1,,,,,normal
246,4,天地否,000111,53,1|3|5|6,4,4,true,1,,,,,normal
247,4,天地否,000111,54,2|3|5|6,4,4,true,1,,,,,normal
248,4,天地否,000111,55,1|2|3|5|6,5,5,true,1,,,,,normal
249,4,天地否,000111,56,4|5|6,3,3,true,1,,,,,normal
250,4,天地否,000111,57,1|4|5|6,4,4,true,1,,,,,normal
251,4,天地否,000111,58,2|4|5|6,4,4,true,1,,,,,normal
252,4,天地否,000111,59,1|2|4|5|6,5,5,true,1,,,,,normal
253,4,天地否,000111,60,3|4|5|6,4,4,true,1,,,,,normal
254,4,天地否,000111,61,1|3|4|5|6,5,5,true,1,,,,,normal
255,4,天地否,000111,62,2|3|4|5|6,5,5,true,1,,,,,normal
256,4,天地否,000111,63,1|2|3|4|5|6,6,6,true,1,,,,,normal
257,5,風地觀,000011,0,,0,0,true,2,,,,,normal
258,5,風地觀,000011,1,1,1,1,true,2,,,,,normal
259,5,風地觀,000011,2,2,1,1,true,2,,,,,normal
260,5,風地觀,000011,3,1|2,2,2,true,2,,,,,normal
261,5,風地觀,000011,4,3,1,1,true,2,,,,,normal
262,5,風地觀,000011,5,1|3,2,2,true,2,,,,,normal
263,5,風地觀,000011,6,2|3,2,2,true,2,,,,,normal
264,5,風地觀,000011,7,1|2|3,3,3,true,2,,,,,normal
265,5,風地觀,000011,8,4,1,1,true,2,,,,,normal
266,5,風地觀,000011,9,1|4,2,2,true,2,,,,,normal
267,5,風地觀,000011,10,2|4,2,2,true,2,,,,,normal
268,5,風地觀,000011,11,1|2|4,3,3,true,2,,,,,normal
269,5,風地觀,000011,12,3|4,2,2,true,2,,,,,normal
270,5,風地觀,000011,13,1|3|4,3,3,true,2,,,,,normal
271,5,風地觀,000011,14,2|3|4,3,3,true,2,,,,,normal
272,5,風地觀,000011,15,1|2|3|4,4,4,true,2,,,,,normal
273,5,風地觀,000011,16,5,1,1,true,2,,,,,normal
274,5,風地觀,000011,17,1|5,2,2,true,2,,,,,normal
275,5,風地觀,000011,18,2|5,2,2,true,2,,,,,normal
276,5,風地觀,000011,19,1|2|5,3,3,true,2,,,,,normal
277,5,風地觀,000011,20,3|5,2,2,true,2,,,,,normal
